,CANDIDATE,YEAR,STATE,CONSTITUENCY,PARTY,% of VOTES SECURED
9266,ORUGANTI RAMULU,1991,ANDHRA PRADESH,MIRYALGUDA,BJP,6.09
9267,CHERUKU SUDHAKAR,1991,ANDHRA PRADESH,MIRYALGUDA,IND,3.77
9268,SARASANI JANI REDDY,1991,ANDHRA PRADESH,MIRYALGUDA,IND,1.1
9269,KRISHNAMURTHY RAJAMANYA,1991,ANDHRA PRADESH,MIRYALGUDA,IND,0.73
9270,R. RANGAIAH,1991,ANDHRA PRADESH,MIRYALGUDA,JP,0.48
9271,GONGATI BIKSHA REDDY,1991,ANDHRA PRADESH,MIRYALGUDA,IND,0.48
9272,MD. EKBAL AHMADU,1991,ANDHRA PRADESH,MIRYALGUDA,IND,0.47
9273,MARRI NEHEMYA,1991,ANDHRA PRADESH,MIRYALGUDA,IND,0.35
9274,AMBATI BIKSHAM,1991,ANDHRA PRADESH,MIRYALGUDA,BSP,0.33
9275,JANIMIYA SHAIK,1991,ANDHRA PRADESH,MIRYALGUDA,IND,0.21
9276,DARA VARAPPASADA RAO,1991,ANDHRA PRADESH,MIRYALGUDA,IND,0.1
9277,PREM KHANDU THUNGON,1991,ARUNACHAL PRADESH,ARUNACHAL WEST,INC,71.68
9278,KAMEN RINGU,1991,ARUNACHAL PRADESH,ARUNACHAL WEST,JD,24.76
9279,PURA TADO,1991,ARUNACHAL PRADESH,ARUNACHAL WEST,BJP,3.56
9280,LAETA UMBREY,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,INC,65.53
9281,CHAU KHOUK MANPOONG,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,JD,24.57
9282,CAHU TAN MANPOONG,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,BJP,9.25
9283,TABANG JAMOH,1991,ARUNACHAL PRADESH,ARUNACHAL EAST,IND,0.65
9284,DWARKA NATH DAS,1991,ASSAM,KARIMGANJ (SC),BJP,39.2
9285,JATINDRA CHANDRA DAS,1991,ASSAM,KARIMGANJ (SC),JD,30.79
9286,NARAYAN CHANDRA DAS,1991,ASSAM,KARIMGANJ (SC),AGP,11.19
9287,SUDARSHAN DAS,1991,ASSAM,KARIMGANJ (SC),INC,9.43
9288,CHINURANI ROY (W),1991,ASSAM,KARIMGANJ (SC),IND,2.36
9289,SUDHANSHU RANJAN ROY,1991,ASSAM,KARIMGANJ (SC),ICS(SCS),1.98
9290,RADHAKANTA TANTY,1991,ASSAM,KARIMGANJ (SC),IND,1.09
9291,YADAV RAJBHAR,1991,ASSAM,KARIMGANJ (SC),IND,0.83
9292,RADHEY SHYAM BISWAS,1991,ASSAM,KARIMGANJ (SC),JP,0.8
9293,LAKSHMI NIVASHKALOWAR,1991,ASSAM,KARIMGANJ (SC),IND,0.72
9294,BRAJALAL RABIDAS,1991,ASSAM,KARIMGANJ (SC),IND,0.66
9295,PRAVHAT KUMAR MALAKAR,1991,ASSAM,KARIMGANJ (SC),IND,0.34
9296,SUNIL DAS,1991,ASSAM,KARIMGANJ (SC),IND,0.32
9297,MAYA SARKAR (W),1991,ASSAM,KARIMGANJ (SC),IND,0.27
9298,KABINDRA PURKAYASTHA,1991,ASSAM,SILCHAR,BJP,38.87
9299,NURUL HUDA,1991,ASSAM,SILCHAR,CPM,36.81
9300,PRABHAS SEN MAJUMDAR,1991,ASSAM,SILCHAR,INC,16.73
9301,SAHIDUL ALOM CHOUDHURY,1991,ASSAM,SILCHAR,AGP,2.61
9302,BIJOY BAHADUR SINGH,1991,ASSAM,SILCHAR,NAGP,1.7
9303,DILIP KUMAR SINGHA,1991,ASSAM,SILCHAR,IND,0.99
9304,KANTIMOY DEB,1991,ASSAM,SILCHAR,IND,0.87
9305,SONA SINGH,1991,ASSAM,SILCHAR,URC,0.75
9306,KHAN SAHAB ALIMUDDIN CHOUDHURY,1991,ASSAM,SILCHAR,IND,0.67
9307,JAYANTA RONGPI,1991,ASSAM,AUTONOMOUS DISTRICT (ST),ADC,47.12
9308,BIREN SINGH ENGTI,1991,ASSAM,AUTONOMOUS DISTRICT (ST),INC,27.64
9309,NIGAMANANDA MAITHAR,1991,ASSAM,AUTONOMOUS DISTRICT (ST),AGP,15.03
9310,BROJEN LANGTHASA,1991,ASSAM,AUTONOMOUS DISTRICT (ST),IND,5.41
9311,BAPURAM SINGNAR,1991,ASSAM,AUTONOMOUS DISTRICT (ST),BJP,4.8
9312,NURUL ISLAM,1991,ASSAM,DHUBRI,INC,26.53
9313,DINESH CHANDRA SARKAR,1991,ASSAM,DHUBRI,BJP,19.62
9314,AZAD ALI,1991,ASSAM,DHUBRI,JD,11.67
9315,AHMED HUSSAIN,1991,ASSAM,DHUBRI,ICS(SCS),8.75
9316,TATTWA NARAYAN ADHIKARY,1991,ASSAM,DHUBRI,CPI,8.22
9317,MINHAR ALI MANDAL,1991,ASSAM,DHUBRI,IND,7.7
9318,DEBENDRA DAS,1991,ASSAM,DHUBRI,AGP,7.39
9319,ABDUL HAMID,1991,ASSAM,DHUBRI,UMF,4.64
9320,MAHAMMAD ALI,1991,ASSAM,DHUBRI,NAGP,2.39
9321,ABDUL REZAK,1991,ASSAM,DHUBRI,URC,1.32
9322,AKHIRUL ISLAM,1991,ASSAM,DHUBRI,IND,0.91
9323,NAZRUL ISLAM,1991,ASSAM,DHUBRI,JP,0.85
9324,SATYENDRA NATH BROHMO CHOUDHURY,1991,ASSAM,KOKRAJHAR (ST),IND,53.2
9325,LOUIS ISLARY,1991,ASSAM,KOKRAJHAR (ST),INC,20.39
9326,BIRENDRA CHANDRA BORO,1991,ASSAM,KOKRAJHAR (ST),AGP,17.55
9327,SAMAR BRAHMA CHOUDHURY,1991,ASSAM,KOKRAJHAR (ST),PTCA,8.85
9328,UDDHAB BARMAN,1991,ASSAM,BARPETA,CPM,30.44
9329,ABDUL LATIF,1991,ASSAM,BARPETA,INC,22.62
9330,ATAUR RAHAMAN,1991,ASSAM,BARPETA,AGP,13.69
9331,A.F. GOLAM OSMANI,1991,ASSAM,BARPETA,UMF,9.87
9332,KAMAKHYA CHARAN CHOUDHURY,1991,ASSAM,BARPETA,NAGP,5.19
9333,HALIDA KHATUN (W),1991,ASSAM,BARPETA,JP,3.81
9334,PRASENJIT KUMAR TALUKDAR,1991,ASSAM,BARPETA,JD,3.79
9335,KAMAL NAYAK,1991,ASSAM,BARPETA,IND,3.59
9336,CHANAKYA PATHAK,1991,ASSAM,BARPETA,IND,2.0
9337,ABU BAKKAR SIDDIQUE,1991,ASSAM,BARPETA,URC,1.45
9338,AMRIT PATHAK,1991,ASSAM,BARPETA,IND,1.07
9339,GUNINDRA NATH SARMA,1991,ASSAM,BARPETA,IND,0.82
9340,BAHARUL ISLAM,1991,ASSAM,BARPETA,IND,0.76
9341,DAYAL CHANDRA BARMAN,1991,ASSAM,BARPETA,AJD,0.48
9342,MD. MALJUDDIN AHMED,1991,ASSAM,BARPETA,IND,0.4
9343,KIRIP CHALIHA,1991,ASSAM,GAUHATI,INC,23.84
9344,ASFAF ALI,1991,ASSAM,GAUHATI,NAGP,17.54
9345,JONARDAN BEZBARUA,1991,ASSAM,GAUHATI,AGP,16.57
9346,NIBARAN BORA,1991,ASSAM,GAUHATI,SLP,14.22
9347,HIRANYA BHATTACHARJYA,1991,ASSAM,GAUHATI,BJP,7.55
9348,DHIRESWAR KALITA,1991,ASSAM,GAUHATI,CPI,4.21
9349,SABYA SACHI RABHA,1991,ASSAM,GAUHATI,URC,3.75
9350,MEDINI MOHAN CHOUDHURY,1991,ASSAM,GAUHATI,IND,3.47
9351,SAILEN MEDHI,1991,ASSAM,GAUHATI,IND,3.33
9352,SATYENDRA PRASAD DEKA,1991,ASSAM,GAUHATI,JP,1.15
9353,PABITRA KUMAR CHAUDHURY,1991,ASSAM,GAUHATI,IND,1.08
9354,KUNTALA DEKA (W),1991,ASSAM,GAUHATI,AJD,0.74
9355,RAMANI KANTA BARUA,1991,ASSAM,GAUHATI,IND,0.69
9356,RAMBILASH,1991,ASSAM,GAUHATI,IND,0.51
9357,ACHYUT KUMAR THAKURIA,1991,ASSAM,GAUHATI,IND,0.45
9358,BINOY KUMAR TAMULY,1991,ASSAM,GAUHATI,IND,0.41
9359,SASADHAR DAS,1991,ASSAM,GAUHATI,IND,0.33
9360,MAHABIR SINGH,1991,ASSAM,GAUHATI,IND,0.14
9361,PRBIN DEKA,1991,ASSAM,MANGALDOI,INC,24.02
9362,BIRENDRA PRASAD BAISHYA,1991,ASSAM,MANGALDOI,AGP,21.39
9363,BINAI KHUNGUR BASUMATARI,1991,ASSAM,MANGALDOI,IND,14.91
9364,LAKSHMI KANTA SAIKIA,1991,ASSAM,MANGALDOI,ICS(SCS),12.76
9365,HABIBAR RAHMAN,1991,ASSAM,MANGALDOI,NAGP,12.34
9366,HARESWAR BARMAN,1991,ASSAM,MANGALDOI,URC,4.87
9367,HARMOHAN SARMA,1991,ASSAM,MANGALDOI,IND,2.08
9368,PREMESHWAR SARMA,1991,ASSAM,MANGALDOI,IND,1.74
9369,GOPI CHANDRA SAH,1991,ASSAM,MANGALDOI,JP,1.44
9370,ARUN KUMAR BARUAH,1991,ASSAM,MANGALDOI,IND,1.13
9371,MUKUNDA KALITA,1991,ASSAM,MANGALDOI,IND,1.08
9372,ARBINDA DEKA,1991,ASSAM,MANGALDOI,IND,0.99
9373,MAHESH CHAKRABARTY,1991,ASSAM,MANGALDOI,IND,0.52
9374,BHUPEN KAKATI,1991,ASSAM,MANGALDOI,IND,0.37
9375,RAJEEV SAHARIA,1991,ASSAM,MANGALDOI,IND,0.35
9376,SWARUP UPADHAYAYA,1991,ASSAM,TEZPUR,INC,41.89
9377,PURNA NARAYAN SINHA,1991,ASSAM,TEZPUR,AGP,23.18
9378,TANKA BAHADUR RAI,1991,ASSAM,TEZPUR,NAGP,10.9
9379,RANA PRASAD DEOURI,1991,ASSAM,TEZPUR,URC,7.01
9380,JAY NARAYAN LUITEL,1991,ASSAM,TEZPUR,BJP,5.98
9381,GOLOK NATH,1991,ASSAM,TEZPUR,IND,3.76
9382,PUNU ORAON,1991,ASSAM,TEZPUR,IND,2.22
9383,RABIN DEKA,1991,ASSAM,TEZPUR,IND,2.14
9384,DILIP KUMAR AGARWALA,1991,ASSAM,TEZPUR,IND,2.1
9385,ISWAR DAYAL PRAJAPATI,1991,ASSAM,TEZPUR,DDP,0.82
9386,MUHIRAM SAIKIA,1991,ASSAM,NOWGONG,AGP,24.35
9387,BISHNU PRASAD,1991,ASSAM,NOWGONG,INC,22.27
9388,HAFIZ RASHID AHMED CHOUDHARY,1991,ASSAM,NOWGONG,UMF,17.11
9389,BIRINCHI SARMAH,1991,ASSAM,NOWGONG,BJP,17.0
9390,INDERSWAR GOSWAMI,1991,ASSAM,NOWGONG,JD,4.42
9391,DIPTI KUMAR BARUA,1991,ASSAM,NOWGONG,SLP,3.94
9392,LAKSHESWAR HAZARIKA,1991,ASSAM,NOWGONG,NAGP,2.95
9393,DIMBESWAR MEDHI,1991,ASSAM,NOWGONG,IND,2.24
9394,BIMAL CHANDRA SAIKIA,1991,ASSAM,NOWGONG,ICS(SCS),1.65
9395,DEBAKANTA SAIKIA,1991,ASSAM,NOWGONG,AJP,1.29
9396,MUKUNDA BARMAN,1991,ASSAM,NOWGONG,IND,1.27
9397,RISHDEO KOIREE,1991,ASSAM,NOWGONG,DDP,0.91
9398,ABDUL MUSABBIR CHOUDHURY,1991,ASSAM,NOWGONG,IND,0.59
9399,TARUN GOGOI,1991,ASSAM,KALIABOR,INC,45.56
9400,DEBESWAR BORA,1991,ASSAM,KALIABOR,AGP,26.3
9401,BHADRESWAR TANTI,1991,ASSAM,KALIABOR,NAGP,9.34
9402,KASEM ALI,1991,ASSAM,KALIABOR,JD,7.78
9403,BROJEN MAHANTA,1991,ASSAM,KALIABOR,URC,3.56
9404,ABDUL KALAM KUDARJUL ISLAM,1991,ASSAM,KALIABOR,IND,2.33
9405,AMBU BORA,1991,ASSAM,KALIABOR,IND,1.39
9406,A. WAHAB,1991,ASSAM,KALIABOR,IND,1.07
9407,PROMOD SINHA,1991,ASSAM,KALIABOR,IND,0.95
9408,PULIN BORKATAKI,1991,ASSAM,KALIABOR,IND,0.72
9409,NURAL HAQUE,1991,ASSAM,KALIABOR,IND,0.63
9410,RAMESHWAR BORA,1991,ASSAM,KALIABOR,JD(S),0.38
9411,BIJOY KRISHNA HANDUQUI,1991,ASSAM,JORHAT,INC,44.9
9412,PARAGEHAR CHALIHA,1991,ASSAM,JORHAT,AGP,24.14
9413,DEVANGA PRASAO BURACOHAIN,1991,ASSAM,JORHAT,CPI,11.4
9414,BIMAL GOGOI,1991,ASSAM,JORHAT,NAGP,6.95
9415,KRISHNA KANTA GOGOI,1991,ASSAM,JORHAT,URC,3.42
9416,KIRTI CHUTIA,1991,ASSAM,JORHAT,IND,2.25
9417,SUDHIR CHANDRA HANDIQUE,1991,ASSAM,JORHAT,IND,1.99
9418,MD. NURUL ISLAM,1991,ASSAM,JORHAT,IND,1.24
9419,INDU GOGOI (W),1991,ASSAM,JORHAT,IND,1.09
9420,JUREN RAJKHOWA,1991,ASSAM,JORHAT,IND,0.83
9421,BIREN GOGOI (W),1991,ASSAM,JORHAT,IND,0.78
9422,MD. ALERED ALI,1991,ASSAM,JORHAT,IND,0.62
9423,PARESH BARDOLOI,1991,ASSAM,JORHAT,JD(S),0.4
9424,PABAN SINGH GHATOWAR,1991,ASSAM,DIBRUGARH,INC,50.53
9425,DIPEN TANTI,1991,ASSAM,DIBRUGARH,AGP,21.96
9426,ISRAIL NANDA,1991,ASSAM,DIBRUGARH,NAGP,7.25
9427,KUMUD BIHARI DAS,1991,ASSAM,DIBRUGARH,BJP,5.74
9428,ANIL BARUAN,1991,ASSAM,DIBRUGARH,IPF,5.17
9429,JOGEN HAZARIKA,1991,ASSAM,DIBRUGARH,IND,2.96
9430,PHATE CHANDRA GARODIA,1991,ASSAM,DIBRUGARH,ICS(SCS),2.13
9431,ABRAHAM SANGA,1991,ASSAM,DIBRUGARH,URC,1.23
9432,DOLI DAS (W),1991,ASSAM,DIBRUGARH,IND,1.05
9433,DHARMANANDA PANDEY,1991,ASSAM,DIBRUGARH,IND,1.03
9434,SITARAM BUKARDIA,1991,ASSAM,DIBRUGARH,IND,0.54
9435,NURUL MUDA AHMED,1991,ASSAM,DIBRUGARH,IND,0.42
9436,BOLIN KULI,1991,ASSAM,LAKHIMPUR,INC,31.36
9437,ISWAR PRASANNA HAZARIKA,1991,ASSAM,LAKHIMPUR,AGP,21.1
9438,RONOJ PEGU,1991,ASSAM,LAKHIMPUR,IND,14.97
9439,DULAL CHANDRA BARUAH,1991,ASSAM,LAKHIMPUR,JD,11.2
9440,SAIFUDDIN ALI HAZARIKA,1991,ASSAM,LAKHIMPUR,CPI,5.4
9441,NEELOTPAL RAJKONWAR,1991,ASSAM,LAKHIMPUR,IND,3.6
9442,BIROCHON DOLEY,1991,ASSAM,LAKHIMPUR,PTCA,2.73
9443,NORENDRA NATH GOHAIN,1991,ASSAM,LAKHIMPUR,IND,2.13
9444,GIRISH CHANDRA PATRA,1991,ASSAM,LAKHIMPUR,NAGP,1.88
9445,RITA DEBI (W),1991,ASSAM,LAKHIMPUR,IND,1.74
9446,PADAMESWAR PHUKAN,1991,ASSAM,LAKHIMPUR,JP,1.04
9447,HIRANYA PEGU,1991,ASSAM,LAKHIMPUR,IND,0.92
9448,UMA KANTA RAJKHOWA,1991,ASSAM,LAKHIMPUR,IND,0.73
9449,PREMADHAR BORAH,1991,ASSAM,LAKHIMPUR,IND,0.68
9450,RADAKISHAN BAHETI,1991,ASSAM,LAKHIMPUR,IND,0.53
9451,MAHENDRA BAITHA,1991,BIHAR,BAGAHA (SC),JD,46.45
9452,KANCHAN BAITHA,1991,BIHAR,BAGAHA (SC),BJP,34.07
9453,NARASINGHA BAITHA,1991,BIHAR,BAGAHA (SC),INC,14.71
9454,BRAHAM DEO RAM SHASTRI,1991,BIHAR,BAGAHA (SC),JP,2.19
9455,PRAMOD RAM,1991,BIHAR,BAGAHA (SC),IND,1.02
9456,SHANKER PASWAN,1991,BIHAR,BAGAHA (SC),IND,0.29
9457,RAJENDRA HAJARA,1991,BIHAR,BAGAHA (SC),IND,0.27
9458,JADUNI RAM,1991,BIHAR,BAGAHA (SC),IND,0.22
9459,GHOOGHALI RAM,1991,BIHAR,BAGAHA (SC),DDP,0.21
9460,RISHI RAM,1991,BIHAR,BAGAHA (SC),IND,0.19
9461,RAJ KUMAR BAITHA,1991,BIHAR,BAGAHA (SC),IND,0.15
9462,JITENDRA KUMAR BHARTI,1991,BIHAR,BAGAHA (SC),IND,0.14
9463,SHANKER HAJARA,1991,BIHAR,BAGAHA (SC),IND,0.07
9464,FAIYAZULAZAM,1991,BIHAR,BETTIAH,JD,54.52
9465,MADAN PRA. JAISWAL,1991,BIHAR,BETTIAH,BJP,35.58
9466,SAHIR AHMAD,1991,BIHAR,BETTIAH,INC,5.67
9467,DHARMESH PRASAD VERMA,1991,BIHAR,BETTIAH,JP,2.71
9468,PREM CHANDRA HAZRA,1991,BIHAR,BETTIAH,IND,0.24
9469,AJOY KUMAR,1991,BIHAR,BETTIAH,BSP,0.23
9470,PREM KUMAR JAISWAL,1991,BIHAR,BETTIAH,IND,0.23
9471,ARJUN PANDEY,1991,BIHAR,BETTIAH,ICS(SCS),0.19
9472,PRABHU MISHRA,1991,BIHAR,BETTIAH,IND,0.18
9473,SAHJADA MAINUDDIN,1991,BIHAR,BETTIAH,IND,0.06
9474,SHAMBHU PRASAD YADAV,1991,BIHAR,BETTIAH,IND,0.06
9475,NATHUNI KAUR,1991,BIHAR,BETTIAH,IND,0.06
9476,RAJDEO TIWARY,1991,BIHAR,BETTIAH,IND,0.05
9477,SHAMBHU PRASAD,1991,BIHAR,BETTIAH,IND,0.04
9478,SOOGRIVA BHAGAT,1991,BIHAR,BETTIAH,IND,0.04
9479,SAMSUDDIN MIAN,1991,BIHAR,BETTIAH,IND,0.03
9480,MAYA DEVI GUPTA (W),1991,BIHAR,BETTIAH,IND,0.03
9481,SAHID MIAN,1991,BIHAR,BETTIAH,IND,0.03
9482,RAGHUNATH SAH,1991,BIHAR,BETTIAH,DDP,0.03
9483,HARI SANKAR SHARMA,1991,BIHAR,BETTIAH,IND,0.02
9484,RAMESHWAR RAUT,1991,BIHAR,BETTIAH,IND,0.01
9485,KAMLA MISHRA MADHUKAR,1991,BIHAR,MOTIHARI,CPI,47.55
9486,RADHA MOHAN SINGH,1991,BIHAR,MOTIHARI,BJP,29.92
9487,GIRISH MISHRA,1991,BIHAR,MOTIHARI,INC,17.28
9488,JAINARAIN PRA. NISHAD,1991,BIHAR,MOTIHARI,JP,4.32
9489,SURESH KU. YADAVA,1991,BIHAR,MOTIHARI,SKD,0.2
9490,CHANDRA SHEKHAR GUPTA,1991,BIHAR,MOTIHARI,IND,0.2
9491,RAM CHANDRA PRASAD,1991,BIHAR,MOTIHARI,DDP,0.18
9492,AMAR SINGH,1991,BIHAR,MOTIHARI,IND,0.15
9493,RAJESHWAR PRASAD,1991,BIHAR,MOTIHARI,IND,0.08
9494,HANS LAL RAI,1991,BIHAR,MOTIHARI,IND,0.07
9495,DAROGA SAH,1991,BIHAR,MOTIHARI,IND,0.05
9496,ABDUL GHAFOOR,1991,BIHAR,GOPALGANJ,JD,50.33
9497,KALI PRASAD PANDEY,1991,BIHAR,GOPALGANJ,INC,34.19
9498,MANDEO TIWARI,1991,BIHAR,GOPALGANJ,BJP,13.69
9499,HARENDRA PRASAD,1991,BIHAR,GOPALGANJ,JP,0.82
9500,RAMASHIS SINGH KUSHWAHA,1991,BIHAR,GOPALGANJ,BSP,0.35
9501,KASHI NATH SAHI,1991,BIHAR,GOPALGANJ,IND,0.23
9502,KASHI NATH SINGH,1991,BIHAR,GOPALGANJ,DDP,0.1
9503,BHARAT DAS,1991,BIHAR,GOPALGANJ,IND,0.1
9504,HIRDYA NATH RAI,1991,BIHAR,GOPALGANJ,IND,0.06
9505,SHANKER SAH,1991,BIHAR,GOPALGANJ,IND,0.04
9506,RAMA SHANKER SARAMA,1991,BIHAR,GOPALGANJ,IND,0.03
9507,SHANE AHMAD KHAN,1991,BIHAR,GOPALGANJ,IND,0.03
9508,VIJOY KUMAR UPADHYAY,1991,BIHAR,GOPALGANJ,IND,0.03
9509,BRISHIN PATEL,1991,BIHAR,SIWAN,JD,51.27
9510,UMASHANKAR SINGH,1991,BIHAR,SIWAN,JP,27.55
9511,JANARDAN TIWARI,1991,BIHAR,SIWAN,BJP,12.26
9512,M. SALIMULLAH,1991,BIHAR,SIWAN,INC,4.15
9513,RAMESH SINGH KUSHWAHA,1991,BIHAR,SIWAN,IPF,3.36
9514,SUGENDRA CHOUDHURY,1991,BIHAR,SIWAN,IND,0.28
9515,GOPAL HARIJAN,1991,BIHAR,SIWAN,IND,0.21
9516,RAM BILASH YADAV,1991,BIHAR,SIWAN,BSP,0.2
9517,UTIM RAI,1991,BIHAR,SIWAN,IND,0.15
9518,KAMLESHWAR PRASAD,1991,BIHAR,SIWAN,DDP,0.12
9519,JAGANATH SINGH,1991,BIHAR,SIWAN,IND,0.1
9520,RAMDHAN SONAR,1991,BIHAR,SIWAN,IND,0.09
9521,DINESH KUMAR MANDOL,1991,BIHAR,SIWAN,IND,0.07
9522,PRABHU SINGH,1991,BIHAR,SIWAN,IND,0.06
9523,DINESH KUSHWAHA,1991,BIHAR,SIWAN,IND,0.05
9524,BHIRGUNATH GOND,1991,BIHAR,SIWAN,IND,0.05
9525,SURYA NATH PANDEY,1991,BIHAR,SIWAN,IND,0.03
9526,BHAGWANGEE,1991,BIHAR,SIWAN,IND,0.02
9527,GIRIJA DEVI (W),1991,BIHAR,MAHARAJGANJ,JD,37.98
9528,RAM BAHADUR SINGH,1991,BIHAR,MAHARAJGANJ,JP,34.12
9529,RAMUDESHWAR SHARMA,1991,BIHAR,MAHARAJGANJ,BJP,14.49
9530,PRABHU NATH SINGH,1991,BIHAR,MAHARAJGANJ,INC,11.27
9531,HIRA LAL RAI,1991,BIHAR,MAHARAJGANJ,IND,0.66
9532,NILAM RANI (W),1991,BIHAR,MAHARAJGANJ,ICS(SCS),0.49
9533,RAMAYODHYA RAM,1991,BIHAR,MAHARAJGANJ,BSP,0.28
9534,ASHOK KUMAR,1991,BIHAR,MAHARAJGANJ,LKD,0.23
9535,ARUN KUMAR SINGH,1991,BIHAR,MAHARAJGANJ,IND,0.08
9536,PASHUPATI RAI,1991,BIHAR,MAHARAJGANJ,IND,0.07
9537,CHANDRA BHUSHAN SINGH,1991,BIHAR,MAHARAJGANJ,IND,0.07
9538,NIZAMUDIN KHAN,1991,BIHAR,MAHARAJGANJ,IND,0.07
9539,DINESH KUMAR MANDAL,1991,BIHAR,MAHARAJGANJ,IND,0.06
9540,SHASHI BHUSHAN SINGH,1991,BIHAR,MAHARAJGANJ,IND,0.03
9541,RAM EKBAL RAI,1991,BIHAR,MAHARAJGANJ,IND,0.03
9542,RAJ BALABH BHARTI,1991,BIHAR,MAHARAJGANJ,IND,0.03
9543,SHIV NATH MAHTO,1991,BIHAR,MAHARAJGANJ,IND,0.03
9544,MAHESH SINGH,1991,BIHAR,MAHARAJGANJ,IND,0.02
9545,LAL BABU RAI,1991,BIHAR,CHAPRA,JD,53.85
9546,RAJIV RANJAN SINGH,1991,BIHAR,CHAPRA,JP,34.7
9547,RAM JAYPAL SINGH YADAV,1991,BIHAR,CHAPRA,INC,6.5
9548,RAM DAS RAI,1991,BIHAR,CHAPRA,BJP,4.14
9549,GUDU SHARMA,1991,BIHAR,CHAPRA,IND,0.2
9550,GONAR MAHTO,1991,BIHAR,CHAPRA,IND,0.13
9551,RAM DAS SINGH,1991,BIHAR,CHAPRA,IND,0.07
9552,CHATURBHUJ TEWARI,1991,BIHAR,CHAPRA,IND,0.06
9553,KRISHNA RAI,1991,BIHAR,CHAPRA,IND,0.06
9554,ANUGARAH NARAIN SINGH,1991,BIHAR,CHAPRA,AZP,0.05
9555,LALAN KUMAR SINGH,1991,BIHAR,CHAPRA,IND,0.04
9556,NAWAL KISHORENIRALA,1991,BIHAR,CHAPRA,IND,0.03
9557,ANIL KR. TIWARI,1991,BIHAR,CHAPRA,IND,0.03
9558,VIJAYA NAND,1991,BIHAR,CHAPRA,DBM,0.03
9559,JANG BAHADUR SINGH,1991,BIHAR,CHAPRA,IND,0.03
9560,ANGAD SINGH,1991,BIHAR,CHAPRA,DDP,0.02
9561,DEVENDAR SINGH,1991,BIHAR,CHAPRA,IND,0.02
9562,RAGHUBENDRA NARAIAN MEHTA,1991,BIHAR,CHAPRA,IND,0.01
9563,VINOD KUMAR SINGH,1991,BIHAR,CHAPRA,IND,0.01
9564,ARVIND KUMAR,1991,BIHAR,CHAPRA,IND,0.01
9565,RAMESHWAR SINGH VISHWABANDHU,1991,BIHAR,CHAPRA,IND,0.01
9566,PREM PRATAP SINGH,1991,BIHAR,CHAPRA,IND,0.01
9567,JAGDISH SINGH,1991,BIHAR,CHAPRA,IND,0.0
9568,VIRENDRA RAI,1991,BIHAR,CHAPRA,IND,0.0
9569,RAM SUNDER DAS,1991,BIHAR,HAJIPUR (SC),JD,65.76
9570,DASAI CHOUDHARY,1991,BIHAR,HAJIPUR (SC),JP,16.32
9571,SANJIV PRASAD TONI,1991,BIHAR,HAJIPUR (SC),INC,13.83
9572,RAJENDER RAM,1991,BIHAR,HAJIPUR (SC),BJP,3.81
9573,LAL DEV PASWAN,1991,BIHAR,HAJIPUR (SC),IND,0.06
9574,NATHU BAITHA,1991,BIHAR,HAJIPUR (SC),DDP,0.04
9575,SARYUG PASWAN,1991,BIHAR,HAJIPUR (SC),IND,0.03
9576,MAHENDRA BHAGAT,1991,BIHAR,HAJIPUR (SC),IND,0.03
9577,RAM CHANDRA RAM,1991,BIHAR,HAJIPUR (SC),IND,0.03
9578,RAM DAYAL PASWAN,1991,BIHAR,HAJIPUR (SC),IND,0.02
9579,VINODE RAVIDAS,1991,BIHAR,HAJIPUR (SC),IND,0.02
9580,RAM NARESH PASWAN,1991,BIHAR,HAJIPUR (SC),IND,0.02
9581,SURESH PASWAN,1991,BIHAR,HAJIPUR (SC),IND,0.01
9582,KARAN KUMAR,1991,BIHAR,HAJIPUR (SC),IND,0.01
9583,SHEO SHARAN SINGH,1991,BIHAR,VAISHALI,JD,54.72
9584,USHA SINGH (W),1991,BIHAR,VAISHALI,INC,37.35
9585,SHYAM NARAIN THAKUR,1991,BIHAR,VAISHALI,BJP,2.61
9586,VALENDRA PD. SINGH,1991,BIHAR,VAISHALI,JP,2.1
9587,LAKHENDRA RAI,1991,BIHAR,VAISHALI,IND,1.48
9588,SHEO SHANKER SINGH,1991,BIHAR,VAISHALI,IND,0.4
9589,PULISH MAHTO,1991,BIHAR,VAISHALI,IND,0.26
9590,KRISHNA KU. SAH,1991,BIHAR,VAISHALI,LKD,0.12
9591,ASHARFI SAHANI,1991,BIHAR,VAISHALI,IND,0.1
9592,JAYANTI SINGH RATHOUR (W),1991,BIHAR,VAISHALI,IND,0.1
9593,RADHIKA DEVI (W),1991,BIHAR,VAISHALI,IND,0.07
9594,GOVARDHAN LAL,1991,BIHAR,VAISHALI,IND,0.07
9595,BISHUNI BHAGAT,1991,BIHAR,VAISHALI,IND,0.05
9596,BASUDEO BHAGAT,1991,BIHAR,VAISHALI,IND,0.05
9597,ABBAS KHAN,1991,BIHAR,VAISHALI,IND,0.05
9598,KAUSHAL KISHORE VIKAL,1991,BIHAR,VAISHALI,BKUS,0.05
9599,KRISHNA KUMAR SINGH (PHULWARIA),1991,BIHAR,VAISHALI,IND,0.04
9600,RAM SAGAR SINGH,1991,BIHAR,VAISHALI,IND,0.04
